Apple,865985,AAPL,2023-03-13,147.809998,153.139999,147.699997,150.470001,150.470001,84397500
Microsoft,870747,MSFT,2023-03-13,247.399994,257.910004,245.729996,253.919998,253.919998,33294100
Gamestop,A0HGDX,GME,2023-03-10,17.530001,17.770000,16.850000,17.250000,17.250000,2835800
Microsoft,870747,MSFT,2023-03-13,247.399994,257.910004,245.729996,253.919998,253.919998,33294100
Intel,855681,INTC,2023-03-13,26.740000,27.309999,26.610001,26.950001,26.950001,50956200
Apple,865985,AAPL,2023-03-13,147.809998,153.139999,147.699997,150.470001,150.470001,84397500
Intel,855681,INTC,2023-03-13,26.740000,27.309999,26.610001,26.950001,26.950001,50956200
Advanced Micro Devices,863186,AMD,2023-03-13,81.389999,83.830002,78.519997,82.010002,82.010002,65231700
Gamestop,A0HGDX,GME,2023-03-10,17.530001,17.770000,16.850000,17.250000,17.250000,2835800
Advanced Micro Devices,863186,AMD,2023-03-13,81.389999,83.830002,78.519997,82.010002,82.010002,65231700
